2022.03.09 07:05:29 INFO  es[][o.e.n.Node] initializing ...
2022.03.09 07:05:30 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/ (/dev/xvda1)]], net usable_space [7.6gb], net total_space [19.3gb], spins? [no], types [ext4]
2022.03.09 07:05:30 INFO  es[][o.e.e.NodeEnvironment] heap size [495.3mb], compressed ordinary object pointers [true]
2022.03.09 07:05:30 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [zEBeCXrARbWk4hSniIqrpg]
2022.03.09 07:05:30 INFO  es[][o.e.n.Node] version[5.6.3], pid[8733], build[1a2f265/2017-10-06T20:33:39.012Z], OS[Linux/5.4.0-1066-aws/amd64], JVM[Ubuntu/OpenJDK 64-Bit Server VM/11.0.14/11.0.14+9-Ubuntu-0ubuntu2.18.04]
2022.03.09 07:05:30 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djdk.io.permissionsUseCanonicalPath=true, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j.skipJansi=true, -Xms512m, -Xmx512m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/home/ubuntu/sonarqube-7.3/elasticsearch]
2022.03.09 07:05:30 INFO  es[][o.e.p.PluginsService] loaded module [aggs-matrix-stats]
2022.03.09 07:05:30 INFO  es[][o.e.p.PluginsService] loaded module [ingest-common]
2022.03.09 07:05:30 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2022.03.09 07:05:30 INFO  es[][o.e.p.PluginsService] loaded module [percolator]
2022.03.09 07:05:30 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2022.03.09 07:05:30 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2022.03.09 07:05:30 INFO  es[][o.e.p.PluginsService] no plugins loaded
2022.03.09 07:05:31 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen]
2022.03.09 07:05:32 INFO  es[][o.e.n.Node] initialized
2022.03.09 07:05:32 INFO  es[][o.e.n.Node] starting ...
2022.03.09 07:05:32 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2022.03.09 07:05:32 WARN  es[][o.e.b.BootstrapChecks] max virtual memory areas vm.max_map_count [65530] is too low, increase to at least [262144]
2022.03.09 07:05:35 INFO  es[][o.e.c.s.ClusterService] new_master {sonarqube}{zEBeCXrARbWk4hSniIqrpg}{X8LfjJ6VR0StxtXMZLOcCA}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube}, reason: zen-disco-elected-as-master ([0] nodes joined)
2022.03.09 07:05:35 INFO  es[][o.e.n.Node] started
2022.03.09 07:05:35 INFO  es[][o.e.g.GatewayService] recovered [0] indices into cluster_state
2022.03.09 07:05:43 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [metadatas] creating index, cause [api], templates [], shards [1]/[0], mappings []
2022.03.09 07:05:43 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[metadatas][0]] ...]).
2022.03.09 07:05:43 INFO  es[][o.e.c.m.MetaDataMappingService] [metadatas/ME6q7ZOOSp2EHvpOHR9pOA] create_mapping [metadata]
2022.03.09 07:05:44 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [components] creating index, cause [api], templates [], shards [5]/[0], mappings []
2022.03.09 07:05:44 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[components][4]] ...]).
2022.03.09 07:05:44 INFO  es[][o.e.c.m.MetaDataMappingService] [components/S63DtXu4RPOhESBSn23WBg] create_mapping [component]
2022.03.09 07:05:44 INFO  es[][o.e.c.m.MetaDataMappingService] [components/S63DtXu4RPOhESBSn23WBg] create_mapping [authorization]
2022.03.09 07:05:44 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [tests] creating index, cause [api], templates [], shards [5]/[0], mappings []
2022.03.09 07:05:44 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[tests][4]] ...]).
2022.03.09 07:05:44 INFO  es[][o.e.c.m.MetaDataMappingService] [tests/iUjnlRhIQjycJTG7WgnxAA] create_mapping [test]
2022.03.09 07:05:44 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [projectmeasures] creating index, cause [api], templates [], shards [5]/[0], mappings []
2022.03.09 07:05:44 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[projectmeasures][0], [projectmeasures][4]] ...]).
2022.03.09 07:05:44 INFO  es[][o.e.c.m.MetaDataMappingService] [projectmeasures/VlRS3NMKRA2az6W9oZqWww] create_mapping [projectmeasure]
2022.03.09 07:05:44 INFO  es[][o.e.c.m.MetaDataMappingService] [projectmeasures/VlRS3NMKRA2az6W9oZqWww] create_mapping [authorization]
2022.03.09 07:05:44 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [rules] creating index, cause [api], templates [], shards [2]/[0], mappings []
2022.03.09 07:05:45 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[rules][0]] ...]).
2022.03.09 07:05:45 INFO  es[][o.e.c.m.MetaDataMappingService] [rules/AM4oTQDFR4mDTUnrx924iA] create_mapping [activeRule]
2022.03.09 07:05:45 INFO  es[][o.e.c.m.MetaDataMappingService] [rules/AM4oTQDFR4mDTUnrx924iA] create_mapping [ruleExtension]
2022.03.09 07:05:45 INFO  es[][o.e.c.m.MetaDataMappingService] [rules/AM4oTQDFR4mDTUnrx924iA] create_mapping [rule]
2022.03.09 07:05:45 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [issues] creating index, cause [api], templates [], shards [5]/[0], mappings []
2022.03.09 07:05:45 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[issues][4]] ...]).
2022.03.09 07:05:45 INFO  es[][o.e.c.m.MetaDataMappingService] [issues/rvWx7iJeSh6rmiOsiD5q8g] create_mapping [issue]
2022.03.09 07:05:45 INFO  es[][o.e.c.m.MetaDataMappingService] [issues/rvWx7iJeSh6rmiOsiD5q8g] create_mapping [authorization]
2022.03.09 07:05:45 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [users] creating index, cause [api], templates [], shards [1]/[0], mappings []
2022.03.09 07:05:45 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[users][0]] ...]).
2022.03.09 07:05:45 INFO  es[][o.e.c.m.MetaDataMappingService] [users/GfgTDKZITCK-zVihgvJp1g] create_mapping [user]
2022.03.09 07:05:45 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [views] creating index, cause [api], templates [], shards [5]/[0], mappings []
2022.03.09 07:05:45 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[views][4]] ...]).
2022.03.09 07:05:45 INFO  es[][o.e.c.m.MetaDataMappingService] [views/GqqKklQTSIKY_gimHvLKmw] create_mapping [view]
2022.03.09 07:06:11 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2022.03.09 07:06:11 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2022.03.09 07:06:11 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
2022.03.09 07:06:11 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
2022.03.09 07:06:11 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2022.03.09 07:06:11 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2022.03.09 07:06:11 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
2022.03.09 07:06:11 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
